"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055085","transmembrane transport","211/1875","472/5796",0.447033898305085,1.38187118644068,5.98546370257444,3.30562649774987e-09,5.51709062474453e-06,5.16373655016927e-06,"YNR017W/YHR094C/YPR194C/YML055W/YDL206W/YDR338C/YAL053W/YPR156C/YNL121C/YNR055C/YBR091C/YPL092W/YMR319C/YDR119W/Q0275/YBR298C/YML030W/YBR180W/YOR137C/YLR411W/YPR198W/YJL108C/YGR260W/YPR058W/YKL217W/YHR039C-A/YLR378C/YDR352W/YJR045C/YHR002W/YJL193W/YGR125W/YNL055C/YHL036W/YFL050C/YPR124W/YDR343C/YCR011C/YGL153W/YDL138W/YKL073W/YCL069W/YGR217W/YLL015W/YHR175W/YOL137W/YKL084W/YDR536W/Q0250/YPR020W/YNL291C/YPR115W/YPL189W/YOR328W/YGR191W/YKR093W/YDL092W/YBL042C/YKR103W/YOR273C/YKR104W/YNL305C/YEL065W/YGL186C/YLR152C/YPR191W/YBR043C/YML123C/YPL063W/YFL054C/YLL053C/YHR096C/YJR095W/YLR004C/YOR378W/YPL098C/YGL008C/YPL026C/Q0105/YOL027C/YNL065W/YOR100C/YAL022C/YLR259C/YHR092C/YEL064C/YGL080W/YER103W/YDR086C/YOL158C/YGL254W/YJR121W/YIL006W/YKL016C/YCR037C/YGL253W/YDR406W/YGR257C/YCR098C/YGL077C/YER053C/YLR092W/YMR221C/YKL195W/YNL329C/YEL006W/YJR152W/YFL055W/YBR296C/YKR105C/YOL044W/YMR058W/YOR306C/YMR088C/YAL005C/YER060W/YBR220C/YMR155W/YNR072W/YJR106W/Q0130/YOR161C/YNL142W/YJL212C/YGR243W/YLR188W/YBR132C/YDR342C/YLR241W/YOR079C/YPR201W/YDR270W/YJL034W/YEL069C/YKR016W/YBR295W/YOR011W/YOR071C/YGL191W/YKR039W/YOL075C/YER019C-A/YLR447C/YML081C-A/YKL120W/YOL092W/YOR232W/YBR127C/YPR011C/YHL016C/YCL005W-A/YMR279C/YPL271W/YJR124C/YNL070W/YOL130W/YOL077W-A/YPL265W/YOR390W/YKL197C/YHL028W/YGR138C/YLR295C/YMR256C/YEL027W/YDR345C/YHL040C/Q0085/YOR348C/YBL099W/YOR020C/YNL101W/YGL255W/YBL030C/YIL121W/YLR237W/YIL088C/YGR121C/YPR128C/YIR028W/YCR028C/YDR529C/YOR065W/YER056C/YOR045W/YEL063C/YBR235W/YOL126C/YIL114C/YDL210W/YHR162W/YJL166W/YFR033C/YPL274W/YGL139W/YDR322C-A/YIL090W/YCR075C/YCL025C/YCR023C/Q0045/YPL036W/YIL166C/YPR133W-A/YER039C/YML116W/YHL008C/YCL038C/YDL183C/YPL078C/YBR021W",211
"GO:0006091","generation of precursor metabolites and energy","105/1875","215/5796",0.488372093023256,1.50965581395349,5.26585791388009,2.3065167950753e-07,0.000192478826549034,0.00018015110125746,"YMR105C/YNR001C/YIL050W/YFR017C/YFL018C/YKR058W/YJR120W/Q0275/YGL256W/YLR164W/YNL169C/YFR021W/YCR005C/YJR009C/YBR117C/YFR049W/YAL038W/YDR050C/YOR002W/YBR238C/YBR010W/Q0250/YIL057C/YKL148C/YOL056W/YPL061W/YNL117W/YOR178C/YGR043C/YJL052W/YGL226W/YPR191W/YEL011W/YIR031C/YNR074C/YPR001W/Q0105/YDR148C/YDL021W/YER054C/YJR121W/YJL137C/YPR184W/YGL253W/YLR044C/YMR205C/YKR046C/YEL039C/YPL075W/YHR174W/YPL262W/YLR154W-C/YFL053W/YGR240C/YFR003C/YER067W/YMR311C/YDL085W/YGR256W/YKL055C/YGL191W/YPL252C/YBR196C/YMR002W/YNL037C/YPL271W/YLR258W/YER065C/YLR174W/YOL136C/YKL152C/YLR087C/YOR347C/YNL242W/YMR256C/YDR031W/YOR374W/YLR134W/YNL241C/YFR015C/YMR030W/YBL030C/YLR446W/YOR344C/YMR145C/YML070W/YDR529C/YGR254W/YJL045W/YOR065W/YOL086C/YER059W/YOL126C/YJL116C/YOR136W/YJL166W/YFR033C/YHR183W/YKL085W/YMR081C/YCR012W/Q0045/YOR355W/YKL060C/YGL134W",105
"GO:0046034","ATP metabolic process","34/1875","53/5796",0.641509433962264,1.98303396226415,4.97125434946211,1.84085662305148e-06,0.00102412990129097,0.000958537273195926,"YJR009C/YAL038W/YDR050C/YPR020W/YOL056W/YJL052W/YDL021W/YJR121W/YKL016C/YGL253W/YMR205C/YPL075W/YHR174W/Q0130/YGR240C/YBR196C/YML081C-A/YBR127C/YPL271W/YOL136C/YOL077W-A/YKL152C/YOR347C/YLR295C/Q0085/YBL099W/YLR446W/YOR344C/YGR254W/YJL116C/YDR322C-A/YCR012W/YKL060C/YPL078C",34
"GO:0006082","organic acid metabolic process","161/1875","372/5796",0.432795698924731,1.33785806451613,4.65773584134987,3.30073473847048e-06,0.00125728097645605,0.00117675568040161,"YNR001C/YDL015C/YPL111W/YBR218C/YFL018C/YEL046C/YNL277W/YDR089W/YLR231C/YIL009W/YDR539W/YEL066W/YNL229C/YCR005C/YLL062C/YJR009C/YPR118W/YMR246W/YFR055W/YGL196W/YER043C/YFR049W/YAL038W/YDR354W/YDR253C/YDR050C/YLR153C/YHR033W/YER052C/YPR002W/YJL060W/YER040W/YPR006C/YGR204W/YNL217W/YIR033W/YHR208W/YER010C/YOL002C/YNL239W/YOL056W/YPL061W/YJR019C/YPL280W/YIL051C/YNL117W/YJR010W/YGR087C/YOR363C/YJL052W/YGL055W/YGL184C/YML099C/YML123C/YMR207C/YER061C/YIR031C/YIL074C/YPR167C/YPL231W/YMR272C/YNR016C/YPR001W/YBL015W/YKL182W/YGL009C/YOR100C/YDR148C/YCL009C/YLL058W/YDL021W/YJL012C/YML054C/YLR303W/YJL088W/YPR035W/YCR037C/YGL253W/YLR044C/YMR205C/YJR137C/YLR438W/YPL075W/YMR009W/YHR174W/YLR142W/YPL262W/YGR240C/YNL256W/YIR023W/YEL071W/YKR069W/YMR322C/YGR256W/YKL055C/YHR037W/YBR196C/YGR124W/YGL062W/YMR280C/YCL018W/YMR170C/YNL037C/YKR009C/YER065C/YLR174W/YOR040W/YJR078W/YIL020C/YOL136C/YKL152C/YOL058W/YOR347C/YIR017C/YMR220W/YJR024C/YER073W/YOR374W/YOR391C/YLR134W/YDR538W/YDR511W/YHR067W/YIL046W/YLR446W/YOR344C/YCL064C/YPR128C/YGR254W/YDR452W/YJL130C/YJR148W/YLR351C/YGL205W/YOL126C/YLR380W/YPL095C/YPL273W/YKL106W/YOR136W/YBR112C/YHR183W/YHR205W/YKL085W/YCR012W/YKL001C/YMR169C/YJL196C/YAL044C/YGL148W/YKR034W/YKL060C/YLL027W/YAL012W/YJL097W/YNL103W/YML076C/YEL020C/YDL080C/YOL140W/YER055C",161
"GO:0043436","oxoacid metabolic process","160/1875","370/5796",0.432432432432432,1.33673513513514,4.62890572350547,3.7665697317437e-06,0.00125728097645605,0.00117675568040161,"YNR001C/YDL015C/YPL111W/YBR218C/YFL018C/YEL046C/YNL277W/YDR089W/YLR231C/YIL009W/YDR539W/YEL066W/YNL229C/YCR005C/YLL062C/YJR009C/YPR118W/YMR246W/YFR055W/YGL196W/YER043C/YFR049W/YAL038W/YDR354W/YDR253C/YDR050C/YLR153C/YHR033W/YER052C/YPR002W/YJL060W/YER040W/YPR006C/YGR204W/YNL217W/YIR033W/YHR208W/YER010C/YOL002C/YNL239W/YOL056W/YPL061W/YJR019C/YPL280W/YIL051C/YNL117W/YJR010W/YGR087C/YOR363C/YJL052W/YGL055W/YGL184C/YML099C/YML123C/YMR207C/YER061C/YIR031C/YIL074C/YPR167C/YPL231W/YMR272C/YNR016C/YPR001W/YBL015W/YKL182W/YGL009C/YOR100C/YDR148C/YCL009C/YLL058W/YDL021W/YJL012C/YML054C/YLR303W/YJL088W/YPR035W/YCR037C/YGL253W/YLR044C/YMR205C/YJR137C/YLR438W/YPL075W/YMR009W/YHR174W/YLR142W/YPL262W/YGR240C/YNL256W/YIR023W/YEL071W/YKR069W/YMR322C/YGR256W/YKL055C/YHR037W/YBR196C/YGR124W/YGL062W/YMR280C/YCL018W/YMR170C/YNL037C/YKR009C/YER065C/YLR174W/YOR040W/YJR078W/YIL020C/YOL136C/YKL152C/YOL058W/YOR347C/YIR017C/YJR024C/YER073W/YOR374W/YOR391C/YLR134W/YDR538W/YDR511W/YHR067W/YIL046W/YLR446W/YOR344C/YCL064C/YPR128C/YGR254W/YDR452W/YJL130C/YJR148W/YLR351C/YGL205W/YOL126C/YLR380W/YPL095C/YPL273W/YKL106W/YOR136W/YBR112C/YHR183W/YHR205W/YKL085W/YCR012W/YKL001C/YMR169C/YJL196C/YAL044C/YGL148W/YKR034W/YKL060C/YLL027W/YAL012W/YJL097W/YNL103W/YML076C/YEL020C/YDL080C/YOL140W/YER055C",160
"GO:0019752","carboxylic acid metabolic process","151/1875","353/5796",0.427762039660057,1.32229801699717,4.32070637815646,1.46865875224432e-05,0.00408531909582628,0.0038236659444396,"YNR001C/YDL015C/YPL111W/YBR218C/YFL018C/YEL046C/YNL277W/YLR231C/YIL009W/YDR539W/YEL066W/YCR005C/YLL062C/YJR009C/YPR118W/YMR246W/YFR055W/YGL196W/YER043C/YFR049W/YAL038W/YDR354W/YDR253C/YDR050C/YLR153C/YHR033W/YER052C/YPR002W/YJL060W/YPR006C/YGR204W/YIR033W/YHR208W/YER010C/YOL002C/YNL239W/YOL056W/YPL061W/YJR019C/YPL280W/YIL051C/YNL117W/YJR010W/YGR087C/YOR363C/YJL052W/YGL055W/YGL184C/YML099C/YMR207C/YER061C/YIR031C/YIL074C/YPR167C/YPL231W/YMR272C/YNR016C/YPR001W/YBL015W/YKL182W/YGL009C/YOR100C/YDR148C/YCL009C/YLL058W/YDL021W/YML054C/YLR303W/YJL088W/YPR035W/YGL253W/YLR044C/YMR205C/YJR137C/YLR438W/YPL075W/YMR009W/YHR174W/YLR142W/YPL262W/YGR240C/YNL256W/YIR023W/YEL071W/YKR069W/YMR322C/YGR256W/YKL055C/YHR037W/YBR196C/YGR124W/YGL062W/YMR280C/YCL018W/YMR170C/YNL037C/YKR009C/YER065C/YLR174W/YOR040W/YJR078W/YIL020C/YOL136C/YKL152C/YOL058W/YOR347C/YIR017C/YJR024C/YER073W/YOR374W/YOR391C/YLR134W/YDR538W/YDR511W/YHR067W/YIL046W/YLR446W/YOR344C/YCL064C/YPR128C/YGR254W/YJL130C/YJR148W/YLR351C/YGL205W/YOL126C/YLR380W/YPL095C/YPL273W/YKL106W/YOR136W/YBR112C/YHR183W/YHR205W/YKL085W/YCR012W/YKL001C/YMR169C/YJL196C/YAL044C/YGL148W/YKL060C/YLL027W/YAL012W/YJL097W/YNL103W/YML076C/YEL020C/YDL080C/YOL140W/YER055C",151
"GO:0032787","monocarboxylic acid metabolic process","83/1875","175/5796",0.474285714285714,1.466112,4.32943726215206,1.7838829440432e-05,0.00425328661944014,0.0039808756224964,"YDL015C/YBR218C/YFL018C/YLR231C/YIL009W/YDR539W/YJR009C/YMR246W/YFR055W/YAL038W/YDR050C/YLR153C/YPR002W/YJL060W/YPR006C/YIR033W/YER010C/YOL002C/YOL056W/YPL061W/YJR019C/YPL280W/YNL117W/YOR363C/YJL052W/YGL055W/YMR207C/YER061C/YIR031C/YPL231W/YMR272C/YNR016C/YPR001W/YBL015W/YKL182W/YOR100C/YDL021W/YML054C/YGL253W/YLR044C/YMR205C/YPL075W/YHR174W/YGR240C/YIR023W/YEL071W/YMR322C/YGR256W/YKL055C/YBR196C/YGL062W/YMR280C/YCL018W/YMR170C/YKR009C/YER065C/YLR174W/YOR040W/YOL136C/YKL152C/YOR347C/YER073W/YOR374W/YOR391C/YLR134W/YDR538W/YHR067W/YLR446W/YOR344C/YPR128C/YGR254W/YGL205W/YLR380W/YPL095C/YBR112C/YHR183W/YCR012W/YMR169C/YJL196C/YKL060C/YLL027W/YJL097W/YEL020C",83
"GO:0009144","purine nucleoside triphosphate metabolic process","35/1875","60/5796",0.583333333333333,1.8032,4.32437839290045,2.78658218019224e-05,0.00581350707342605,0.00544116836237536,"YJR009C/YBR252W/YAL038W/YDR050C/YPR020W/YOL056W/YJL052W/YDL021W/YJR121W/YKL016C/YGL253W/YMR205C/YPL075W/YHR174W/Q0130/YGR240C/YBR196C/YML081C-A/YBR127C/YPL271W/YOL136C/YOL077W-A/YKL152C/YOR347C/YLR295C/Q0085/YBL099W/YLR446W/YOR344C/YGR254W/YJL116C/YDR322C-A/YCR012W/YKL060C/YPL078C",35
"GO:0009205","purine ribonucleoside triphosphate metabolic process","34/1875","58/5796",0.586206896551724,1.81208275862069,4.29796574591445,3.14167339037735e-05,0.00582605876504422,0.00545291615359063,"YJR009C/YAL038W/YDR050C/YPR020W/YOL056W/YJL052W/YDL021W/YJR121W/YKL016C/YGL253W/YMR205C/YPL075W/YHR174W/Q0130/YGR240C/YBR196C/YML081C-A/YBR127C/YPL271W/YOL136C/YOL077W-A/YKL152C/YOR347C/YLR295C/Q0085/YBL099W/YLR446W/YOR344C/YGR254W/YJL116C/YDR322C-A/YCR012W/YKL060C/YPL078C",34
"GO:0009199","ribonucleoside triphosphate metabolic process","36/1875","63/5796",0.571428571428571,1.7664,4.22925367093071,3.98250499390732e-05,0.00664680083483132,0.00622109201153522,"YJR009C/YAL038W/YDR050C/YPR020W/YOL056W/YJL052W/YDL021W/YJR121W/YKL016C/YGL253W/YMR205C/YPL075W/YHR174W/Q0130/YGR240C/YBR196C/YML081C-A/YBR127C/YPL271W/YOL136C/YOL077W-A/YKL152C/YOR347C/YER005W/YLR295C/Q0085/YBL099W/YNR012W/YLR446W/YOR344C/YGR254W/YJL116C/YDR322C-A/YCR012W/YKL060C/YPL078C",36
