target_id	length	eff_length	est_counts	tpm
YPL071C_mRNA	471	422	22	5.39831
YLL050C_mRNA	432	383	350	94.6274
YMR172W_mRNA	2160	2111	37.0278	1.8163
YOR185C_mRNA	663	614	175	29.5133
YLL032C_mRNA	2478	2429	58	2.47257
YBR225W_mRNA	2703	2654	59.075	2.30489
YEL041W_mRNA	1488	1439	39	2.80641
YOR237W_mRNA	1305	1256	2	0.164888
YMR027W_mRNA	1413	1364	163	12.3743
YBR182C-A_mRNA	195	146	1	0.709243
YKL103C_mRNA	1545	1496	588	40.6999
YOL048C_mRNA	1029	980	58	6.12844
YIR015W_mRNA	435	386	25	6.70657
YNR017W_mRNA	669	620	86	14.3633
YBL055C_mRNA	1257	1208	21	1.80011
YML089C_mRNA	369	320	28.0597	9.07989
YOL144W_mRNA	1455	1406	35	2.57769
YDL246C_mRNA	1074	1025	1.62855e-08	1.64522e-09
YDL243C_mRNA	990	941	239.319	26.3351
YDR387C_mRNA	1668	1619	43	2.75023
YMR290C_mRNA	1518	1469	28.5477	2.01232
YOR082C_mRNA	342	293	27.2017	9.61339
YCR031C_mRNA	414	365	283.264	80.3613
YBR293W_mRNA	1425	1376	16	1.20406
YJL160C_mRNA	864	815	3	0.381164
YBR223W-A_mRNA	120	71	0	0
YMR139W_mRNA	1113	1064	79	7.68835
YNL105W_mRNA	429	380	5.18552	1.41305
YDL094C_mRNA	510	461	2.36384	0.530963
YDR438W_mRNA	1113	1064	25	2.43302
YDR523C_mRNA	1473	1424	18	1.30891
YDR542W_mRNA	363	314	0	0
YIL156W-A_mRNA	402	353	1.48338	0.435135
YLR466W_mRNA	4149	4100	0	0
YPL208W_mRNA	1752	1703	17	1.03367
YLR054C_mRNA	2175	2126	8	0.38965
YER011W_mRNA	765	716	5	0.723111
YLR437C_mRNA	402	353	43	12.6137
YPL102C_mRNA	303	254	2	0.81535
YNR069C_mRNA	1470	1421	23	1.67603
YDR492W_mRNA	951	902	50.7652	5.82783
YIL115W-A_mRNA	372	323	67.3714	21.5984
YMR191W_mRNA	1122	1073	125	12.0631
YIL086C_mRNA	309	260	25	9.95668
YOL072W_mRNA	1368	1319	18	1.41311
YOR114W_mRNA	885	836	15	1.85794
